,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Gross profit margin %,21.02,16.56,18.83
Operating profit margin %,6.32,-0.28,-1.81
Net profit margin %,2.73,-3.15,-4.95
Asset turnover ratio,0.73,No data,No data
Return on assets %,1.99,No data,No data
Return on capital employed %,5.26,-0.29,No data
Return on common shareholder equity %,4.72,No data,No data
