,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Gross profit margin %,11.32,13.6,15.01
Operating profit margin %,-3.47,0.37,2.0
Net profit margin %,-1.0,0.05,2.3
Asset turnover ratio,0.48,No data,No data
Return on assets %,-0.49,No data,No data
Return on capital employed %,-2.59,0.36,No data
Return on common shareholder equity %,-3.99,No data,No data
