,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Gross profit margin %,20.3665754990407,19.372326704897365,17.948438955722242
Operating profit margin %,5.416173408988856,3.9938209083556186,3.0228019231684677
Net profit margin %,5.1002163530228195,4.7953540226032345,5.3832396004053065
Asset turnover ratio,0.5288290291452861,,
Return on assets %,2.697142462399969,,
Return on capital employed %,4.272172277890832,3.829332364530643,
Return on common shareholder equity %,14.39036188984359,,
